[06:33:46], pebble
[09:12:20], handful of pugil scales
[09:12:33], handful of fish scales
[09:12:46], nebimonite
[09:16:42], maple log
[09:17:30], bibiki slug
[09:17:43], shall shell
[09:17:56], coral fragment
[09:18:09], clump of pamtam kelp
[09:18:22], pebble
[09:18:47], clump of pamtam kelp
[12:45:11], jacknife
[12:45:35], pebble
[12:45:49], pebble
[12:46:27], vongola clam
[12:46:41], jacknife
[12:46:55], shall shell
[12:47:53], pebble
[12:50:18], vongola clam
[12:50:31], vongola clam
[12:50:45], handful of fish scales
[12:50:58], vongola clam
[12:51:11], clump of pamtam kelp
[12:51:24], jacknife
[12:51:55], bibiki slug
[12:53:47], handful of fish scales
[12:54:12], bibiki slug
[12:54:26], clump of pamtam kelp
[12:55:05], jacknife
[12:55:51], jacknife
[12:56:04], bibiki slug
[12:56:17], pebble
[12:58:39], hobgoblin pie
[13:00:14], sack of white sand
[13:00:29], uragnite shell
[13:01:01], vongola clam
[13:01:14], clump of pamtam kelp
[13:29:20], hobgoblin pie
[13:29:34], goblin mask
[13:29:47], bibiki slug
[13:30:00], jacknife
[13:30:13], broken willow fishing rod
[13:30:26], bibiki slug
[13:30:39], seashell
[13:30:52], bibiki slug
[13:31:08], jacknife
[14:01:15], seashell
[14:01:29], bibiki slug
[14:01:49], jacknife
[14:02:12], hobgoblin pie
[14:02:52], handful of pugil scales
[14:03:29], nebimonite
[14:08:27], handful of fish scales
[14:09:28], bibiki slug
[14:09:42], pebble
[14:12:24], pebble
[14:12:38], pebble
[14:12:53], pebble
[14:13:09], jacknife
[14:13:24], jacknife
[14:13:39], pebble
[14:14:54], broken willow fishing rod
[14:15:08], coral fragment
[14:15:22], vongola clam
[14:15:36], jacknife
[14:15:58], jacknife
[14:17:40], bibiki slug
[14:17:56], suit of goblin mail
[14:18:11], suit of goblin mail
[14:19:06], hobgoblin pie
[14:19:22], suit of goblin armor
[14:19:35], clump of pamtam kelp
[15:02:26], shall shell
[15:04:18], vongola clam
[15:04:33], suit of goblin mail
[15:04:45], pebble
[15:04:58], suit of goblin mail
[15:06:49], handful of high-quality pugil scales
[15:07:02], jacknife
[15:07:25], broken willow fishing rod
[15:07:39], pebble
[15:07:53], suit of goblin armor
[15:08:06], pebble
[15:09:26], piece of oxblood
[15:09:42], pebble
[15:10:00], bibiki slug
[15:10:13], handful of fish scales
[15:10:53], goblin mask
[15:11:08], pebble
[15:14:19], pebble
[15:14:33], pebble
[15:14:49], handful of pugil scales
[15:15:18], clump of pamtam kelp
[15:15:41], piece of oxblood
[15:15:55], vongola clam
[15:17:08], bibiki slug
[15:17:28], jacknife
[15:17:41], pebble
[15:17:54], clump of pamtam kelp
[15:18:08], handful of pugil scales
[15:18:21], pebble
[15:18:35], handful of pugil scales
[15:18:48], vongola clam
[15:19:44], loaf of hobgoblin bread
[15:19:57], goblin mask
[15:20:10], bibiki slug
[15:20:24], pebble
[15:20:39], clump of pamtam kelp
[15:20:56], suit of goblin armor
[15:21:25], pebble
[15:21:49], shall shell
[15:23:08], bibiki slug
[15:23:21], jacknife
[15:23:34], clump of pamtam kelp
[15:24:32], loaf of hobgoblin bread
[15:24:45], jacknife
[15:24:58], handful of pugil scales
[15:25:11], shall shell
[15:26:10], handful of fish scales
[15:26:23], bibiki slug
[15:26:36], pebble
[15:26:49], handful of fish scales
[15:27:04], handful of pugil scales
[15:27:17], seashell
[15:27:30], hobgoblin pie
[15:27:43], jacknife
[15:27:56], broken willow fishing rod
[16:45:06], handful of fish scales
[16:45:19], suit of goblin armor
[16:45:33], pebble
[16:45:45], pebble
[16:46:03], tropical clam
[16:53:48], shall shell
[16:54:01], crab shell
[16:54:14], crab shell
[16:54:30], jacknife
[16:54:46], crab shell
[16:55:06], broken willow fishing rod
[16:56:12], seashell
[16:56:30], suit of goblin mail
[16:56:43], broken willow fishing rod
[16:56:59], sack of white sand
[16:57:16], clump of pamtam kelp
[16:57:29], handful of fish scales
[16:59:04], bibiki slug
[16:59:17], handful of pugil scales
[17:14:07], goblin mask
[17:14:20], shall shell
[17:14:34], suit of goblin mail
[17:14:48], jacknife
[17:15:44], suit of goblin armor
[17:15:58], handful of pugil scales
[17:16:11], suit of goblin armor
[17:16:24], pebble
[17:16:37], pebble
[17:17:06], broken willow fishing rod
[17:17:23], seashell
[17:17:48], seashell
[17:19:18], bibiki slug
[17:19:31], shall shell
[17:19:45], shall shell
[17:19:59], shall shell
[17:20:14], handful of fish scales
[17:20:26], nebimonite
[17:20:39], shall shell
[17:20:54], goblin mask
[17:23:00], turtle shell
[17:23:14], bibiki slug
[17:23:28], bibiki urchin
[17:23:42], shall shell
[17:23:55], pebble
[17:24:09], handful of fish scales
[17:25:44], sack of white sand
[17:25:57], coral fragment
[17:26:11], suit of goblin armor
[17:26:27], goblin mask
[17:26:42], handful of fish scales
[17:26:55], handful of fish scales
[17:31:24], vongola clam
[17:31:38], shall shell
[17:31:53], seashell
[17:32:07], coral fragment
[17:32:21], bibiki slug
[17:32:53], handful of pugil scales
[17:33:06], bibiki slug
[17:34:21], bibiki urchin
[17:34:38], handful of pugil scales
[17:34:56], pebble
[17:35:09], pebble
[17:35:24], loaf of hobgoblin bread
[17:35:39], jacknife
[17:36:39], titanictus shell
[17:36:52], handful of pugil scales
[17:37:06], bibiki slug
[17:37:25], vongola clam
[17:37:38], suit of goblin mail
[17:37:51], bibiki slug
[17:38:05], pebble
[17:39:24], suit of goblin mail
[17:39:37], bibiki slug
[17:39:50], handful of pugil scales
[17:40:08], pebble
[17:40:21], jacknife
[17:41:02], pebble
[17:41:17], jacknife
[17:42:06], pebble
[17:42:20], handful of fish scales
[17:42:33], turtle shell
[17:42:46], goblin mask
[17:43:02], handful of fish scales
[17:43:15], jacknife
[17:44:32], seashell
[17:44:48], bibiki slug
[17:45:09], pebble
[17:45:24], pebble
[17:46:07], clump of pamtam kelp
[17:47:16], crab shell
[17:50:28], bibiki slug
[17:50:47], suit of goblin armor
[17:51:52], sack of white sand
[17:55:19], pebble
[17:55:39], handful of high-quality pugil scales
[17:55:54], broken willow fishing rod
[17:56:09], seashell
[17:56:41], seashell
[17:56:56], pebble
[17:58:06], vongola clam
[17:58:32], vongola clam
[17:58:45], suit of goblin armor
[17:59:00], clump of pamtam kelp
[17:59:14], turtle shell
[17:59:40], elm log
[18:24:18], jacknife
[18:24:43], jacknife
[18:25:00], coral fragment
[18:25:12], handful of pugil scales
[18:27:09], handful of fish scales
[18:27:26], shall shell
[18:27:46], turtle shell
[18:28:03], vongola clam
[18:28:18], bibiki urchin
[18:28:32], clump of pamtam kelp
[18:29:40], pebble
[18:29:55], suit of goblin armor
[18:30:11], tropical clam
[18:32:04], pebble
[18:32:23], handful of pugil scales
[18:32:51], pebble
[18:33:07], pebble
[18:33:22], jacknife
[18:33:57], pebble
[18:34:29], bibiki slug
[18:35:28], jacknife
[18:35:42], clump of pamtam kelp
[18:36:12], goblin mask
[18:36:26], bibiki urchin
[18:36:39], bibiki slug
[18:37:00], sack of white sand
[18:37:17], suit of goblin mail
[18:38:45], jacknife
[18:38:58], shall shell
[18:39:13], handful of pugil scales
[18:44:41], pebble
[18:44:54], suit of goblin mail
[18:47:15], vongola clam
[18:47:33], bibiki slug
[18:47:48], bibiki slug
[18:48:07], loaf of hobgoblin bread
[18:48:26], loaf of hobgoblin bread
[18:48:41], goblin mask
[18:48:56], handful of fish scales
[18:50:03], bibiki slug
[18:50:37], jacknife
[18:52:05], pebble
[18:52:27], goblin mask
[18:52:41], handful of fish scales
[18:52:55], shall shell
[18:53:08], jacknife
[18:53:24], broken willow fishing rod
[18:55:03], clump of pamtam kelp
[19:25:12], bibiki slug
[19:25:33], pebble
[19:26:01], goblin mask
[19:26:20], shall shell
[19:26:40], vongola clam
[19:26:57], turtle shell
[19:28:48], goblin mask
[19:29:04], broken willow fishing rod
[19:29:33], shall shell
[19:29:48], goblin mask
[19:30:05], goblin mask
[19:30:35], handful of pugil scales
[19:31:22], clump of pamtam kelp
[19:31:36], loaf of hobgoblin bread
[19:32:37], goblin mask
[19:32:50], pebble
[19:33:03], jacknife
[19:33:18], jacknife
[19:33:32], bibiki slug
[19:34:54], sack of white sand
[19:36:07], handful of pugil scales
[19:36:23], turtle shell
[19:36:48], pebble
[19:38:09], coral fragment
[19:38:25], pebble
[19:40:04], clump of pamtam kelp
[19:40:23], suit of goblin mail
[19:41:30], vongola clam
[19:41:44], suit of goblin mail
[19:42:14], pebble
[19:43:30], pebble
[19:43:43], goblin mask
[19:43:56], vongola clam
[19:44:15], shall shell
[19:44:28], clump of pamtam kelp
[19:45:21], handful of pugil scales
[19:45:35], handful of fish scales
[19:45:48], vongola clam
[19:46:52], turtle shell
[19:47:06], broken willow fishing rod
[19:47:20], handful of fish scales
[19:47:43], pebble
[19:48:01], handful of fish scales
[19:48:14], jacknife
[19:48:27], pebble
[19:49:20], shall shell
[19:49:33], titanictus shell
[19:49:48], handful of fish scales
[19:50:01], clump of pamtam kelp
[19:50:15], maple log
[19:50:28], hobgoblin pie
[19:50:44], pebble
[19:50:58], hobgoblin pie
[19:51:51], handful of pugil scales
[19:52:05], jacknife
[19:52:18], pebble
[19:52:41], piece of oxblood
[19:53:01], turtle shell
[19:53:15], jacknife
[19:56:55], handful of pugil scales
[19:57:09], jacknife
[19:57:23], handful of fish scales
[19:57:36], handful of fish scales
[19:57:52], jacknife
[19:58:06], broken willow fishing rod
[19:58:35], bibiki slug
[20:00:13], suit of goblin armor
[20:00:33], sack of white sand
[20:00:49], crab shell
[20:01:06], seashell
[20:01:29], bibiki slug
[20:01:43], bibiki urchin
[20:02:00], bibiki slug
[20:02:13], goblin mask
[20:02:31], handful of high-quality pugil scales
[20:03:17], sack of white sand
[20:03:30], goblin mask
[20:03:43], nebimonite
[20:03:57], tropical clam
[20:05:01], jacknife
[20:05:15], suit of goblin armor
[20:05:30], bibiki slug
[20:05:46], handful of pugil scales
[20:06:02], coral fragment
[20:06:16], handful of fish scales
[20:06:29], shall shell
[20:07:46], handful of fish scales
[20:08:01], bibiki slug
[20:08:15], titanictus shell
[20:08:29], nebimonite
[20:08:45], maple log
[20:08:58], pebble
[20:09:12], jacknife
[20:09:27], nebimonite
[20:10:24], broken willow fishing rod
[20:10:37], pebble
[20:10:50], jacknife
[20:11:04], bibiki slug
[20:11:18], handful of pugil scales
[20:11:32], pebble
[20:11:46], handful of fish scales
[20:11:59], hobgoblin pie
[20:13:13], titanictus shell
[20:13:27], pebble
[20:13:41], handful of fish scales
[20:13:55], broken willow fishing rod
[20:14:09], suit of goblin mail
[20:14:22], jacknife
[20:15:41], pebble
[20:15:55], sack of white sand
[20:16:09], vongola clam
[20:16:32], vongola clam
[20:16:46], pebble
[20:17:00], high-quality crab shell
