[17:06:45], clump of pamtam kelp
[21:37:35], bibiki urchin
[21:37:48], pebble
[21:38:01], suit of goblin mail
[21:41:48], suit of goblin mail
[21:42:03], clump of pamtam kelp
[21:42:22], jacknife
[21:42:45], clump of pamtam kelp
[21:43:00], petrified log
[21:43:53], hobgoblin pie
[21:45:22], shall shell
[21:49:37], bibiki slug
[21:50:36], suit of goblin mail
[21:51:04], broken willow fishing rod
[21:51:38], vongola clam
[21:52:00], pebble
[21:52:45], suit of goblin mail
[21:53:08], bibiki slug
[21:54:32], handful of fish scales
[21:54:45], pebble
[21:55:09], sack of white sand
[21:55:38], jacknife
[21:56:19], titanictus shell
[21:57:00], bibiki slug
[21:57:31], bibiki slug
[21:58:21], nebimonite
[22:00:09], bibiki slug
[22:00:26], loaf of hobgoblin bread
[22:01:09], pebble
[22:02:57], pebble
[22:03:20], handful of fish scales
[22:03:46], handful of pugil scales
[22:04:05], seashell
[22:04:59], shall shell
[22:05:14], pebble
[22:05:41], clump of pamtam kelp
[22:07:16], jacknife
[22:07:30], pebble
[22:07:47], pebble
[22:08:03], handful of fish scales
[22:08:17], petrified log
[22:09:41], jacknife
[22:10:05], pebble
[22:10:18], jacknife
[22:10:48], pebble
[22:11:02], vongola clam
[22:11:54], handful of high-quality pugil scales
[22:13:01], pebble
[22:13:16], handful of fish scales
[22:13:30], shall shell
[22:13:45], crab shell
[22:13:58], sack of white sand
[22:14:12], handful of pugil scales
[22:14:26], pebble
[22:14:56], pebble
[22:15:12], sack of white sand
[22:20:31], sack of white sand
[22:20:48], vongola clam
[22:21:03], handful of pugil scales
[22:21:18], handful of pugil scales
[22:21:33], jacknife
[22:23:02], high-quality crab shell
[22:23:16], seashell
[22:24:41], clump of pamtam kelp
[22:24:55], vongola clam
[22:25:09], handful of fish scales
[22:25:23], vongola clam
[22:25:37], pebble
[22:25:55], pebble
[22:26:08], suit of goblin mail
[22:27:35], vongola clam
[22:27:48], handful of pugil scales
[22:28:02], bibiki slug
[22:28:16], pebble
[22:28:29], pebble
[22:28:43], bibiki slug
[22:29:00], turtle shell
[22:29:14], vongola clam
[22:30:29], sack of white sand
[22:30:42], sack of white sand
[22:30:55], hobgoblin pie
[22:31:09], jacknife
[22:31:22], nebimonite
[22:31:36], pebble
[22:31:52], hobgoblin pie
[22:33:01], nebimonite
[22:33:15], jacknife
[22:33:29], suit of goblin mail
[22:33:44], pebble
[22:34:29], goblin mask
[22:34:42], nebimonite
[22:43:04], crab shell
[22:43:18], pebble
[22:43:32], handful of fish scales
[22:43:46], crab shell
[22:44:01], bibiki urchin
[22:44:15], pebble
[22:44:29], clump of pamtam kelp
[22:44:43], pebble
[22:45:40], pebble
[22:45:54], nebimonite
[22:46:08], vongola clam
[22:46:22], pebble
[22:46:38], sack of white sand
[22:46:52], crab shell
[22:47:44], vongola clam
[22:50:07], vongola clam
[22:50:22], jacknife
[22:50:35], pebble
[22:50:49], clump of pamtam kelp
[22:51:14], vongola clam
[22:51:29], hobgoblin pie
[22:51:43], pebble
[22:52:46], clump of pamtam kelp
[22:53:00], pebble
[22:53:13], jacknife
[22:53:28], maple log
[22:53:41], shall shell
[22:53:54], pebble
[22:54:08], bibiki urchin
[22:55:12], pebble
[22:55:34], nebimonite
[22:55:49], bibiki slug
[22:56:05], hobgoblin pie
[22:56:45], bibiki slug
[22:56:59], jacknife
[22:57:23], handful of pugil scales
[22:57:36], jacknife
[22:58:39], pebble
[22:58:56], coral fragment
[22:59:09], pebble
[22:59:45], handful of pugil scales
